Unique_property_type
TV
Wireless Internet
Kitchen
Free Parking on Premises
Pets live on this property
Dog(s)
Heating
Family/Kid Friendly
Washer
Dryer
Smoke Detector
Fire Extinguisher
Essentials
Shampoo
Laptop Friendly Workspace
Internet
Air Conditioning
Pets Allowed
Carbon Monoxide Detector
Lock on Bedroom Door
Hangers
Hair Dryer
Iron
Cable TV
First Aid Kit
Safety Card
translation missing: en.hosting_amenity_49
translation missing: en.hosting_amenity_50
Gym
Breakfast
Indoor Fireplace
Cat(s)
24-Hour Check-in
Hot Tub
Buzzer/Wireless Intercom
Other pet(s)
Washer / Dryer
Smoking Allowed
Suitable for Events
Wheelchair Accessible
Elevator in Building
Pool
Doorman
Paid Parking Off Premises
Free Parking on Street
